Namespace(heuristic=False, output='res/LunarLanderAgent3_corrected_with_heruistic.gif', weight='res/last_weight/5/LunarLander-v2.ckpt')

WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

Restore model from res/last_weight/5/LunarLander-v2.ckpt
iteration:  1
reward  1.451140826166552 action  1
reward  1.5943930863776654 action  1
reward  1.686224393534759 action  1
reward  2.101022988397973 action  1
reward  1.9358113928319949 action  1
reward  0.985745861994958 action  1
reward  0.8871890120354362 action  1
reward  0.30562394029837603 action  1
reward  0.09602547210124726 action  1
reward  -0.20470175087248663 action  1
reward  -0.6327017163098378 action  1
reward  -0.8015861534111071 action  1
reward  -1.353099066328524 action  1
reward  -1.9020498281437586 action  1
reward  -2.409040151216401 action  1
reward  1.8245054512438912 action  2
reward  -3.9926304029332855 action  3
reward  -2.5130298683292254 action  1
reward  -4.153259223318741 action  3
reward  0.43313531483731255 action  2
reward  -3.4463356464831634 action  0
reward  0.4380929597941872 action  2
reward  -4.0162304545602 action  3
reward  -3.45592160502855 action  0
reward  -0.9863700453741047 action  2
reward  -3.7954917187400654 action  3
reward  -3.423303801918223 action  0
reward  3.621825107305921 action  2
reward  -3.571205514065922 action  3
reward  -3.2919677218542334 action  3
reward  -3.0063035048377444 action  3
reward  -2.7461230876692455 action  3
reward  0.004679581192516491 action  2
reward  4.298637464598568 action  2
reward  -2.496243955305458 action  3
reward  -2.3279880563616744 action  3
reward  3.484226330260765 action  2
reward  -2.070273184843727 action  3
reward  -1.8094967139783467 action  3
reward  -1.7816872479290282 action  0
reward  3.7579261679884555 action  2
reward  -1.4524234619350114 action  3
reward  -1.553100843740225 action  0
reward  3.9133137606753623 action  2
reward  -1.2346243446054348 action  3
reward  -1.070927256358259 action  3
reward  2.375074035448546 action  2
reward  -1.0864063916334885 action  0
reward  -0.6895107979179602 action  3
reward  1.5927270811599044 action  2
reward  2.4309499438625553 action  2
reward  -0.4875701307730924 action  3
reward  3.556473477049292 action  2
reward  -0.17443808093801635 action  3
reward  -0.48612630322770656 action  0
reward  3.5978881948348205 action  2
reward  -0.41241197035992627 action  0
reward  2.820684958714435 action  2
reward  0.15053297547200487 action  3
reward  1.4659027010745944 action  2
