Namespace(heuristic=False, output='res/LunarLanderAgent3_corrected_with_heruistic_v2.gif', weight='res/last_weight/5/LunarLander-v2.ckpt')

WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

Restore model from res/last_weight/5/LunarLander-v2.ckpt
iteration:  1
reward  0.7582195001571403 action  3
reward  0.8891436368988377 action  3
reward  1.4096370084245688 action  3
reward  1.3232450760767744 action  3
reward  1.6257692241680115 action  3
reward  1.6508896159441246 action  3
reward  1.8546058361734492 action  3
reward  1.296534040465276 action  3
reward  0.5798581022457381 action  3
reward  0.0939156449698271 action  3
reward  0.09296639479731653 action  3
reward  -0.25828263470788104 action  3
reward  -0.4407970458070156 action  3
reward  -0.4494633102577541 action  3
reward  -0.8256460046254392 action  3
reward  -1.1087163640472955 action  3
reward  -1.1249072462479421 action  3
reward  -1.4313541895241417 action  3
reward  -1.5802692503283413 action  3
reward  -2.26990382240396 action  3
reward  -3.080338135833813 action  0
reward  -2.635354754276874 action  3
reward  -3.452630893662473 action  0
reward  -3.0048460650852733 action  3
reward  -3.8899359099148683 action  0
reward  -3.8991160383875183 action  0
reward  -3.9667374407237617 action  0
reward  -4.025876668238311 action  0
reward  -3.599342138812317 action  3
reward  -4.734751731262178 action  1
reward  -4.5567554148268234 action  1
reward  -4.285614367729663 action  1
reward  -3.8031604462183553 action  1
reward  -3.673528157289381 action  1
reward  -3.3398095965825676 action  1
reward  -3.140096716628561 action  1
reward  -2.9707824025290095 action  1
reward  -2.6628541501033554 action  1
reward  -2.461332617117107 action  1
reward  -2.11943929805946 action  1
reward  1.4900176784364703 action  2
reward  -1.976317140709682 action  0
reward  3.5140558442626117 action  2
reward  -1.9119718623385598 action  1
reward  -1.6814933432799808 action  1
reward  5.164949503857099 action  2
reward  -1.7094088375683327 action  0
reward  2.2290549749876165 action  2
reward  -1.6286861782512279 action  1
reward  -1.5938994586994681 action  0
reward  1.7656978014941387 action  2
reward  -1.5549891835227072 action  0
reward  3.7468949059825833 action  2
reward  -1.2014759138500313 action  1
reward  4.6149725476430605 action  2
reward  -1.4249784588952252 action  0
reward  -0.7780856189080783 action  1
reward  1.1850521545631068 action  2
reward  -0.6587917494041722 action  1
reward  1.776914129281306 action  2
reward  -0.031438339573155644 action  1
reward  3.6980447255901483 action  2
reward  2.3026740449558476 action  2
reward  0.1148616086758534 action  1
reward  0.4020515346822162 action  1
reward  2.1106001173489632 action  2
reward  1.9675315920716911 action  2
reward  0.908105203505795 action  2
reward  0.8990555131406495 action  2
reward  0.904093861822646 action  1
reward  0.8899805722378573 action  2
reward  3.7347730668504484 action  2
reward  0.9924482733370905 action  1
reward  1.381725677920184 action  2
reward  2.347081437965909 action  2
reward  1.382316826086112 action  1
reward  2.1454257521021534 action  2
reward  3.8128612157350803 action  2
reward  1.9191349022844986 action  1
reward  1.5745426669867129 action  2
reward  2.1113443694207787 action  1
reward  1.8567145033397423 action  2
reward  3.5146964571578794 action  2
reward  2.350109093140202 action  2
